4,0
6,0
9,0
15,0
25,0
35,0
49,0
58,0
69,0
77,0
87,0
93,0
106,0
119,0
133,0
753,0
842,0
1263,0
3183,0
3561,0
3595,0
7149,0
7217,0
7421,0
22677,0
23223,0
44467,0
45223,0
94409,0
116759,0
120667,0
155219957,0
173446499,0
207551681,0
505078969,0
1714669937,0
2076838793,0
2965638043,0
3447499487,0
5193899957,0
8199384169,0
11176065911,1
13874946983,1
18802131553,0
26259387023,1
27976890433,1
30376444093,1
40316378009,1
49464121667,2
69063672719,1
90347106859,2
96273383551,2
105706250249,2
121173506959,2
145024256543,3
172947360779,2
202007623943,2
243663478109,3
292587984251,4
362632713731,4
492748951757,4
642868180417,5
814118123881,6
1104746774959,8
1564530844537,9
2106053453939,9
2886474641873,11
900150065895001,192
20002264345266001,606
160015717182228827,2500
160023242443181479,2338
160037911045399507,2313
160056420942588959,2327
160083974215171547,2310
250112070556896139,2891
250130226954542339,2904
302650489912015543,3438
302664199475452223,3200
360208183288669237,3474
360227468319884653,3533
360262102489237097,3641
525315945999584177,4048
680004664757988253,4614
855007794267756707,5197
